#options: 1920x1080 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=1 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=4147 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:49 out:47 type:P dur:2 cpbdur:2 q:31.72 aq:25.69 tex:220332 mv:67462 misc:2182 imb:4614 pmb:3259 smb:287 d:s ref:0 w:7,127,2 ;
in:47 out:48 type:B dur:2 cpbdur:2 q:31.48 aq:27.03 tex:74389 mv:45052 misc:7919 imb:1120 pmb:3626 smb:3414 d:s ref:0 ;
in:48 out:49 type:b dur:2 cpbdur:2 q:31.60 aq:27.07 tex:45661 mv:34250 misc:8177 imb:794 pmb:3207 smb:4159 d:- ref:0 ;
in:53 out:50 type:P dur:2 cpbdur:2 q:31.91 aq:25.93 tex:187571 mv:68224 misc:2637 imb:4220 pmb:3518 smb:422 d:s ref:0 ;
in:51 out:51 type:B dur:2 cpbdur:2 q:31.81 aq:26.39 tex:73982 mv:46909 misc:7893 imb:1065 pmb:4189 smb:2906 d:s ref:0 ;
in:50 out:52 type:b dur:2 cpbdur:2 q:31.77 aq:27.74 tex:36351 mv:25541 misc:8060 imb:375 pmb:2946 smb:4839 d:s ref:0 ;
in:52 out:53 type:b dur:2 cpbdur:2 q:31.86 aq:27.38 tex:35440 mv:33215 misc:8265 imb:748 pmb:3086 smb:4326 d:- ref:0 ;
in:57 out:54 type:P dur:2 cpbdur:2 q:31.89 aq:26.01 tex:242687 mv:70520 misc:2009 imb:4029 pmb:3865 smb:266 d:s ref:0 ;
in:55 out:55 type:B dur:2 cpbdur:2 q:31.90 aq:26.52 tex:68602 mv:40434 misc:8132 imb:846 pmb:3895 smb:3419 d:s ref:0 ;
in:54 out:56 type:b dur:2 cpbdur:2 q:31.91 aq:27.52 tex:33607 mv:26398 misc:7971 imb:435 pmb:2833 smb:4892 d:s ref:0 ;
in:56 out:57 type:b dur:2 cpbdur:2 q:31.90 aq:28.13 tex:27553 mv:20219 misc:7532 imb:223 pmb:2497 smb:5440 d:- ref:0 ;
in:61 out:58 type:P dur:2 cpbdur:2 q:31.91 aq:26.66 tex:238954 mv:58239 misc:3951 imb:2808 pmb:4493 smb:859 d:s ref:0 ;
in:59 out:59 type:B dur:2 cpbdur:2 q:31.90 aq:27.66 tex:64265 mv:28146 misc:8165 imb:357 pmb:3724 smb:4079 d:s ref:0 ;
in:58 out:60 type:b dur:2 cpbdur:2 q:31.90 aq:28.41 tex:28616 mv:19228 misc:7564 imb:170 pmb:2557 smb:5433 d:s ref:0 ;
in:60 out:61 type:b dur:2 cpbdur:2 q:31.91 aq:29.61 tex:41218 mv:15194 misc:7644 imb:75 pmb:2824 smb:5261 d:- ref:0 ;
in:65 out:62 type:P dur:2 cpbdur:2 q:31.87 aq:26.22 tex:164207 mv:53038 misc:5171 imb:2582 pmb:4262 smb:1316 d:s ref:0 ;
in:63 out:63 type:B dur:2 cpbdur:2 q:31.89 aq:27.22 tex:65704 mv:31181 misc:8251 imb:384 pmb:3941 smb:3835 d:s ref:0 ;
in:62 out:64 type:b dur:2 cpbdur:2 q:31.90 aq:28.93 tex:27895 mv:18721 misc:7336 imb:167 pmb:2457 smb:5536 d:s ref:0 ;
in:64 out:65 type:b dur:2 cpbdur:2 q:31.88 aq:28.36 tex:23695 mv:16209 misc:7168 imb:173 pmb:2158 smb:5829 d:- ref:0 ;
in:69 out:66 type:P dur:2 cpbdur:2 q:31.68 aq:25.99 tex:171741 mv:57451 misc:4584 imb:3109 pmb:3890 smb:1161 d:s ref:0 ;
in:67 out:67 type:B dur:2 cpbdur:2 q:31.78 aq:26.73 tex:64013 mv:33335 misc:8156 imb:516 pmb:3862 smb:3782 d:s ref:0 ;
in:66 out:68 type:b dur:2 cpbdur:2 q:31.83 aq:27.92 tex:24867 mv:17470 misc:7151 imb:192 pmb:2244 smb:5724 d:s ref:0 ;
in:68 out:69 type:b dur:2 cpbdur:2 q:31.73 aq:27.57 tex:26350 mv:20335 misc:7459 imb:263 pmb:2446 smb:5451 d:- ref:0 ;
in:70 out:70 type:P dur:2 cpbdur:2 q:31.52 aq:25.55 tex:115452 mv:41548 misc:7136 imb:1633 pmb:3652 smb:2875 d:s ref:0 ;
in:73 out:71 type:P dur:2 cpbdur:2 q:31.56 aq:25.55 tex:176585 mv:58467 misc:4644 imb:3175 pmb:3835 smb:1150 d:s ref:0 ;
in:71 out:72 type:B dur:2 cpbdur:2 q:31.53 aq:26.46 tex:50751 mv:33473 misc:8168 imb:555 pmb:3437 smb:4168 d:s ref:0 ;
in:72 out:73 type:b dur:2 cpbdur:2 q:31.55 aq:27.39 tex:30480 mv:23749 misc:7659 imb:351 pmb:2672 smb:5137 d:- ref:0 ;
in:77 out:74 type:P dur:2 cpbdur:2 q:31.53 aq:25.44 tex:179329 mv:60996 misc:3963 imb:3403 pmb:3857 smb:900 d:s ref:0 ;
in:75 out:75 type:B dur:2 cpbdur:2 q:31.55 aq:27.62 tex:72619 mv:31807 misc:8150 imb:421 pmb:4241 smb:3498 d:s ref:0 ;
in:74 out:76 type:b dur:2 cpbdur:2 q:31.55 aq:27.20 tex:30625 mv:26046 misc:7785 imb:427 pmb:2695 smb:5038 d:s ref:0 ;
in:76 out:77 type:b dur:2 cpbdur:2 q:31.54 aq:27.30 tex:30961 mv:25595 misc:7820 imb:429 pmb:2724 smb:5007 d:- ref:0 ;
in:80 out:78 type:P dur:2 cpbdur:2 q:31.44 aq:25.30 tex:159831 mv:54083 misc:5278 imb:2543 pmb:4097 smb:1520 d:s ref:0 ;
in:78 out:79 type:B dur:2 cpbdur:2 q:31.50 aq:26.37 tex:41740 mv:29523 misc:8065 imb:485 pmb:3120 smb:4555 d:s ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:31.47 aq:27.25 tex:30282 mv:21266 misc:7668 imb:298 pmb:2644 smb:5218 d:- ref:0 ;
in:83 out:81 type:P dur:2 cpbdur:2 q:31.37 aq:25.18 tex:194262 mv:57159 misc:4323 imb:2537 pmb:4603 smb:1020 d:s ref:0 ;
in:81 out:82 type:B dur:2 cpbdur:2 q:31.42 aq:26.44 tex:47852 mv:28826 misc:8114 imb:408 pmb:3408 smb:4344 d:s ref:0 ;
in:82 out:83 type:b dur:2 cpbdur:2 q:31.39 aq:27.23 tex:29245 mv:19715 misc:7544 imb:277 pmb:2553 smb:5330 d:- ref:0 ;
in:87 out:84 type:P dur:2 cpbdur:2 q:31.35 aq:25.41 tex:211946 mv:58377 misc:4261 imb:2440 pmb:4732 smb:988 d:s ref:0 ;
in:85 out:85 type:B dur:2 cpbdur:2 q:31.36 aq:26.35 tex:62171 mv:32456 misc:8101 imb:458 pmb:3807 smb:3895 d:s ref:0 ;
in:84 out:86 type:b dur:2 cpbdur:2 q:31.36 aq:27.34 tex:26835 mv:19796 misc:7329 imb:244 pmb:2357 smb:5559 d:s ref:0 ;
in:86 out:87 type:b dur:2 cpbdur:2 q:31.35 aq:27.32 tex:26821 mv:18482 misc:7273 imb:237 pmb:2350 smb:5573 d:- ref:0 ;
in:91 out:88 type:P dur:2 cpbdur:2 q:31.26 aq:25.85 tex:235950 mv:57511 misc:3803 imb:2510 pmb:4877 smb:773 d:s ref:0 ;
in:89 out:89 type:B dur:2 cpbdur:2 q:31.30 aq:27.00 tex:59853 mv:31023 misc:8100 imb:518 pmb:3553 smb:4089 d:s ref:0 ;
in:88 out:90 type:b dur:2 cpbdur:2 q:31.33 aq:27.68 tex:27236 mv:20956 misc:7424 imb:221 pmb:2487 smb:5452 d:s ref:0 ;
in:90 out:91 type:b dur:2 cpbdur:2 q:31.28 aq:28.91 tex:48724 mv:19029 misc:7911 imb:103 pmb:3252 smb:4805 d:- ref:0 ;
in:95 out:92 type:P dur:2 cpbdur:2 q:31.23 aq:25.61 tex:197187 mv:55517 misc:4816 imb:2345 pmb:4648 smb:1167 d:s ref:0 ;
in:93 out:93 type:B dur:2 cpbdur:2 q:31.24 aq:26.99 tex:77375 mv:34130 misc:8135 imb:419 pmb:4173 smb:3568 d:s ref:0 ;
in:92 out:94 type:b dur:2 cpbdur:2 q:31.25 aq:28.08 tex:35160 mv:19627 misc:7525 imb:194 pmb:2631 smb:5335 d:s ref:0 ;
in:94 out:95 type:b dur:2 cpbdur:2 q:31.24 aq:27.60 tex:28385 mv:19913 misc:7414 imb:207 pmb:2449 smb:5504 d:- ref:0 ;
in:99 out:96 type:P dur:2 cpbdur:2 q:31.16 aq:25.64 tex:172650 mv:57172 misc:4546 imb:2608 pmb:4464 smb:1088 d:s ref:0 ;
in:97 out:97 type:B dur:2 cpbdur:2 q:31.20 aq:26.49 tex:67217 mv:34621 misc:8074 imb:479 pmb:4024 smb:3657 d:s ref:0 ;
in:96 out:98 type:b dur:2 cpbdur:2 q:31.21 aq:27.74 tex:28818 mv:21522 misc:7604 imb:254 pmb:2605 smb:5301 d:s ref:0 ;
in:98 out:99 type:b dur:2 cpbdur:2 q:31.18 aq:27.88 tex:30243 mv:20118 misc:7567 imb:224 pmb:2623 smb:5313 d:- ref:0 ;
in:103 out:100 type:P dur:2 cpbdur:2 q:31.05 aq:26.22 tex:178629 mv:56624 misc:5019 imb:2906 pmb:3741 smb:1513 d:s ref:0 ;
in:101 out:101 type:B dur:2 cpbdur:2 q:31.11 aq:26.35 tex:71698 mv:37911 misc:7991 imb:460 pmb:4243 smb:3457 d:s ref:0 ;
